subj,run,item,list,category,sentence,joke ending,nonjoke ending,displayed,response,RT,question onset
KAN_RHnonlit_04,1,75,1,joke,"When reviewing your notes for a test, the most important ones will be",illegible,capitalized,"When reviewing your notes for a test, the most important ones will be illegible.",,,6.002212047576904
KAN_RHnonlit_04,1,138,1,nonjoke,Modern science is amazing: garbage is now being made into,movies,gasoline,Modern science is amazing: garbage is now being made into gasoline.,1,1.1596150398254395,16.011346101760864
KAN_RHnonlit_04,1,46,1,nonjoke,Arguments between couples are healthy; sometimes they even prevent,marriage,breakups,Arguments between couples are healthy; sometimes they even prevent breakups.,1,0.453125,24.00804901123047
KAN_RHnonlit_04,1,119,1,joke,"He told me he's not broke, just badly",bent,off,"He told me he's not broke, just badly bent.",1,0.4798920154571533,34.00386714935303
KAN_RHnonlit_04,1,26,1,nonjoke,"To clothe one soldier, it takes the wool from two sheep and the hides from three",taxpayers,animals,"To clothe one soldier, it takes the wool from two sheep and the hides from three animals.",2,1.8657948970794678,44.013137102127075
KAN_RHnonlit_04,1,91,1,joke,"If there's one thing that counts in business, its",bookkeepers,resources,"If there's one thing that counts in business, its bookkeepers.",1,0.4131321907043457,54.00896501541138
KAN_RHnonlit_04,1,81,1,joke,Another thing that has developed by leaps and bounds is modern,dance,science,Another thing that has developed by leaps and bounds is modern dance.,2,0.58638596534729,64.00478720664978
KAN_RHnonlit_04,1,107,1,joke,The difference between a good speaker and a bad one is often a nice,nap,diction,The difference between a good speaker and a bad one is often a nice nap.,2,0.3198239803314209,72.00148606300354
KAN_RHnonlit_04,1,2,1,nonjoke,"She went on a fourteen day diet, but she only lost two",weeks,ounces,"She went on a fourteen day diet, but she only lost two ounces.",1,0.49310302734375,94.00565814971924
KAN_RHnonlit_04,1,108,1,nonjoke,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little,water,platform,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little platform.,1,0.5863461494445801,104.00157904624939
KAN_RHnonlit_04,1,54,1,nonjoke,The tourist bureau told the visitors there was plenty of hunting in this part of the country but very little,finding,sightseeing,The tourist bureau told the visitors there was plenty of hunting in this part of the country but very little sightseeing.,1,0.5731258392333984,114.01072716712952
KAN_RHnonlit_04,1,83,1,joke,Nothing ages a woman faster than,identification,hardship,Nothing ages a woman faster than identification.,1,0.5464649200439453,122.0073561668396
KAN_RHnonlit_04,1,76,1,nonjoke,"Parents support clubs for teenagers, especially when they lack other forms of",punishment,diversion,"Parents support clubs for teenagers, especially when they lack other forms of diversion.",1,0.42655301094055176,142.01235508918762
KAN_RHnonlit_04,1,122,1,nonjoke,"If you're filthy rich, sending your kids to college is a wonderful", cleaner,luxury,"If you're filthy rich, sending your kids to college is a wonderful luxury.",1,0.5465469360351562,156.00655317306519
KAN_RHnonlit_04,1,116,1,nonjoke,Autobiography is an unrivaled vehicle for telling the truth about,others,somebody,Autobiography is an unrivaled vehicle for telling the truth about somebody.,1,0.9996600151062012,168.00159311294556
KAN_RHnonlit_04,1,78,1,nonjoke,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our,drinks,stove,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our stove.,1,0.5732309818267822,180.00991702079773
KAN_RHnonlit_04,1,55,1,joke,His wife sued for divorce and asked for custody of the,cash,cat,His wife sued for divorce and asked for custody of the cash.,2,0.8130228519439697,190.00577116012573
KAN_RHnonlit_04,1,114,1,nonjoke,It's extraordinary what fine poker hand you get when you're playing,bridge,stud,It's extraordinary what fine poker hand you get when you're playing stud.,1,0.6531009674072266,198.00253319740295
KAN_RHnonlit_04,1,135,1,joke,"My mechanic couldn't fix my brakes, so he fixed my",horn,clutch,"My mechanic couldn't fix my brakes, so he fixed my horn.",2,0.42650794982910156,206.01250505447388
KAN_RHnonlit_04,1,12,1,nonjoke,In some marriages the bride is given away by the ,press,family ,In some marriages the bride is given away by the family .,1,0.7596337795257568,218.00756120681763
KAN_RHnonlit_04,1,127,1,joke,The penalty for dishonesty is the disgrace of dying,rich,unloved,The penalty for dishonesty is the disgrace of dying rich.,1,0.5331759452819824,232.0017352104187
KAN_RHnonlit_04,1,121,1,joke,"Diamonds are produced by great pressure, usually provided by a ",girlfriend,piston,"Diamonds are produced by great pressure, usually provided by a girlfriend.",3,0.6664118766784668,240.01168417930603
KAN_RHnonlit_04,1,94,1,nonjoke,"To get something done, a committee should consist of no more than three people, two of whom are",dead,workers,"To get something done, a committee should consist of no more than three people, two of whom are workers.",1,0.6530969142913818,248.0083692073822
KAN_RHnonlit_04,1,88,1,nonjoke,The wind was so strong it blew out three,fuses,streetlights,The wind was so strong it blew out three streetlights.,2,0.46642088890075684,256.0051181316376
KAN_RHnonlit_04,1,104,1,nonjoke,Politicians who are as American as apple pie still want their,slice,rewards,Politicians who are as American as apple pie still want their rewards.,1,0.6930868625640869,276.0101251602173
KAN_RHnonlit_04,1,156,1,nonjoke,The only ones who want me for my body are,mosquitos,losers,The only ones who want me for my body are losers.,1,0.9329760074615479,284.0068061351776
KAN_RHnonlit_04,1,13,1,joke,A device for finding furniture in the dark is a ,shin,candle,A device for finding furniture in the dark is a shin.,2,0.9729080200195312,294.00270318984985
KAN_RHnonlit_04,1,17,1,joke,A committee keeps minutes and takes,hours,votes,A committee keeps minutes and takes hours.,2,0.8529481887817383,316.0068349838257
KAN_RHnonlit_04,1,129,1,joke,The perfect companion to a vegetarian dinner is a ,steak,salad,The perfect companion to a vegetarian dinner is a steak.,2,1.3194749355316162,328.0019021034241
KAN_RHnonlit_04,1,100,1,nonjoke,"I hope this train stops at Grand Central because if it doesn't, there will be a ",crash,delay,"I hope this train stops at Grand Central because if it doesn't, there will be a delay.",1,1.0396199226379395,338.01104521751404
KAN_RHnonlit_04,1,15,1,joke,"When John bought a bulldog, it was no time at all before he had that dog eating out of his",leg,fingers,"When John bought a bulldog, it was no time at all before he had that dog eating out of his leg.",1,0.5464270114898682,348.0069739818573
KAN_RHnonlit_04,1,90,1,nonjoke,A vacation is the shortest distance between two,paychecks,locations,A vacation is the shortest distance between two locations.,1,0.6131088733673096,360.00192618370056
KAN_RHnonlit_04,1,67,1,joke,The most prevalent form of legalized gambling is,elections,betting,The most prevalent form of legalized gambling is elections.,2,0.7863121032714844,370.01110100746155
KAN_RHnonlit_04,1,154,1,nonjoke,"This new computer works so quickly, it comes complete with",ulcers,games,"This new computer works so quickly, it comes complete with games.",1,0.5997488498687744,380.0069751739502
KAN_RHnonlit_04,1,42,1,nonjoke,The best way to keep the milk from turning sour is to keep it in the,cow,cold,The best way to keep the milk from turning sour is to keep it in the cold.,1,0.5731217861175537,392.0019462108612
KAN_RHnonlit_04,1,7,1,joke,A replacement player hit a home run with my,girl,ball,A replacement player hit a home run with my girl.,2,0.773094892501831,400.0119481086731
KAN_RHnonlit_04,1,144,1,nonjoke,The difference between a dog and fox is about five,beers,degrees,The difference between a dog and fox is about five degrees.,1,1.0661261081695557,408.00874304771423
KAN_RHnonlit_04,1,103,1,joke,"I still miss my ex-wife, but I am improving my",aim,ego,"I still miss my ex-wife, but I am improving my aim.",,,424.0021131038666
KAN_RHnonlit_04,1,4,1,nonjoke,I knew a streetwalker who was so exclusive she had an unlisted telephone,booth,line,I knew a streetwalker who was so exclusive she had an unlisted telephone line.,1,1.3062231540679932,438.00954604148865
KAN_RHnonlit_04,1,109,1,joke,Many a freshman helps the college of his choice by becoming a ,dropout,member,Many a freshman helps the college of his choice by becoming a dropout.,,,450.00465416908264
KAN_RHnonlit_04,1,48,1,nonjoke,"The new tax forms are more realistic: where your wife signs, it says","""accomplice""","""partner""","The new tax forms are more realistic: where your wife signs, it says ""partner"".",1,1.8792450428009033,458.00125002861023
KAN_RHnonlit_04,1,61,1,joke,"For great vacation, put the kids in the back seat, and take a ",cruise,freeway,"For great vacation, put the kids in the back seat, and take a cruise.",2,1.1461780071258545,466.01132917404175
KAN_RHnonlit_04,1,105,1,joke,The book that tells you where you can go on vacation is called a,checkbook,guidebook,The book that tells you where you can go on vacation is called a checkbook.,2,0.39987802505493164,474.0079290866852
KAN_RHnonlit_04,1,128,1,nonjoke,"Figures don't lie, except on the",beaches,page,"Figures don't lie, except on the page.",1,0.5465021133422852,484.0037980079651
KAN_RHnonlit_04,1,113,1,joke,Some people's only culture is,bacteria,radio,Some people's only culture is bacteria.,1,1.372750997543335,492.00048303604126
KAN_RHnonlit_04,1,118,1,nonjoke,Cocktails lounges are usually half lit to match the,patrons,setting,Cocktails lounges are usually half lit to match the setting.,2,0.9196200370788574,504.0087971687317
KAN_RHnonlit_04,1,29,1,joke,My doctor has never violated his oath: the oath he took years ago to become a,millionaire,practitioner,My doctor has never violated his oath: the oath he took years ago to become a millionaire.,1,0.3998432159423828,512.0055019855499
KAN_RHnonlit_04,1,146,1,nonjoke,"Love has its benefits, and they are usually called",alimony,memories,"Love has its benefits, and they are usually called memories.",1,0.426541805267334,522.0013542175293
KAN_RHnonlit_04,1,20,1,nonjoke,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a",balloon,truck,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a truck.",1,0.7063229084014893,532.0105900764465
KAN_RHnonlit_04,1,33,1,joke,Some people think courtship is the first in a series of steps leading to ,divorce,romance,Some people think courtship is the first in a series of steps leading to divorce.,2,1.026155948638916,540.0073091983795
KAN_RHnonlit_04,1,136,1,nonjoke,The only fishing through the ice that some men ever do is for the ,olive,trout,The only fishing through the ice that some men ever do is for the trout.,1,0.4531409740447998,550.0031590461731
KAN_RHnonlit_04,1,133,1,joke,He likes to make things around the house; this week it's the,maid,shelves,He likes to make things around the house; this week it's the maid.,1,0.8529739379882812,560.0122511386871
